epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1582.06,0.80628,3.03169,0.88693,0.21758,0.29054,0.23578,0.20694,0.69606,3.01847,0.83669,3.7232e-05,3.7232e-05,3.7232e-05
42,1620.33,0.80163,2.98612,0.894,0.26176,0.24444,0.23332,0.20181,0.68407,3.01549,0.8358,3.36878e-05,3.36878e-05,3.36878e-05
43,1658.64,0.77165,2.99001,0.8806,0.24719,0.23626,0.23108,0.19739,0.70754,3.02417,0.84181,3.01436e-05,3.01436e-05,3.01436e-05
44,1697.16,0.778,2.9568,0.88835,0.29268,0.23036,0.23707,0.20107,0.72899,3.02615,0.84636,2.65994e-05,2.65994e-05,2.65994e-05
45,1735.21,0.76876,2.98369,0.89048,0.26012,0.23347,0.23207,0.19682,0.73013,3.02712,0.84695,2.30552e-05,2.30552e-05,2.30552e-05
46,1773.46,0.78401,2.93312,0.88398,0.26081,0.24425,0.23343,0.20057,0.71871,3.02106,0.84503,1.9511e-05,1.9511e-05,1.9511e-05
47,1811.89,0.76891,2.94466,0.8781,0.22739,0.24522,0.23245,0.20062,0.69992,3.00907,0.84127,1.59668e-05,1.59668e-05,1.59668e-05
48,1850.57,0.76041,2.92292,0.89936,0.27282,0.2434,0.23321,0.20293,0.69883,3.00252,0.84099,1.24226e-05,1.24226e-05,1.24226e-05
49,1889,0.76494,2.94406,0.88271,0.2889,0.24033,0.23555,0.20519,0.70146,3.00069,0.84137,8.8784e-06,8.8784e-06,8.8784e-06
50,1928.09,0.77925,2.93605,0.88263,0.34986,0.23804,0.23405,0.2042,0.70302,2.99663,0.84133,5.3342e-06,5.3342e-06,5.3342e-06
