epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.439,2.13554,6.06829,1.41509,0,0,0,0,1.901,6.09559,1.40728,1.79e-05,1.79e-05,1.79e-05
2,78.2216,1.82371,5.81392,1.26942,0,0,0,0,1.5598,5.89556,1.19771,3.01472e-05,3.01472e-05,3.01472e-05
3,116.777,1.59897,5.63438,1.13359,0,0,0,0,1.24561,5.70018,1.01719,3.45971e-05,3.45971e-05,3.45971e-05
4,156.233,1.44301,5.53643,1.05955,0,0,0,0,1.07344,5.59171,0.95251,3.12498e-05,3.12498e-05,3.12498e-05
5,195.306,1.36982,5.45805,1.02686,0,0,0,0,1.01644,5.52327,0.92115,2.01053e-05,2.01053e-05,2.01053e-05
